hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",54000,None,Not employed at this time,NA,No,No,NA,36
"$50,000+ per year",102000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",46000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"<$50,000 per year",8000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,55
"$50,000+ per year",71000,None,Not employed at this time,NA,No,No,NA,57
"<$50,000 per year",39500,None,Not employed at this time,NA,Yes,No,NA,51
"$50,000+ per year",203000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"<$50,000 per year",47000,One or more,Not employed at this time,NA,Yes,No,NA,63
"$50,000+ per year",117000,None,Not employed at this time,NA,Yes,No,NA,51
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"<$50,000 per year",6500,None,Not employed at this time,NA,Yes,No,NA,55
"$50,000+ per year",128000,None,Not employed at this time,NA,Yes,No,NA,33
"$50,000+ per year",50000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,30
"$50,000+ per year",84000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,61
"<$50,000 per year",45500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,28
"$50,000+ per year",224000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,49
"$50,000+ per year",245000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,29
"<$50,000 per year",38000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,22
"<$50,000 per year",45500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,55
"$50,000+ per year",185000,None,Not employed at this time,NA,Yes,No,NA,26
"<$50,000 per year",500,One or more,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",60000,None,Not employed at this time,NA,No,No,NA,63
"$50,000+ per year",124000,None,Not employed at this time,NA,No,No,NA,26
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,41
"$50,000+ per year",187000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",63000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,40
"$50,000+ per year",80000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,51
"<$50,000 per year",48500,None,Not employed at this time,NA,Yes,No,NA,48
"$50,000+ per year",166000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"<$50,000 per year",36000,None,Not employed at this time,NA,No,No,NA,36
"<$50,000 per year",34000,One or more,Not employed at this time,NA,No,No,NA,42
"$50,000+ per year",68000,None,Not employed at this time,NA,No,No,NA,33
"$50,000+ per year",141000,None,Employed part-time,Do all of your work from home,Yes,No,No,67
"<$50,000 per year",13000,One or more,Not employed at this time,NA,No,Yes,NA,35
"<$50,000 per year",42500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,50
"$50,000+ per year",188000,None,Not employed at this time,NA,No,No,NA,68
"<$50,000 per year",38500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,47
"<$50,000 per year",18500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,38
"<$50,000 per year",17000,None,Not employed at this time,NA,No,No,NA,51
"<$50,000 per year",47000,One or more,Not employed at this time,NA,No,No,NA,49
"<$50,000 per year",3000,One or more,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",121000,None,Not employed at this time,NA,No,No,NA,54
"<$50,000 per year",43500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,26
"$50,000+ per year",74000,None,Not employed at this time,NA,No,No,NA,50
"$50,000+ per year",97000,One or more,Not employed at this time,NA,Yes,No,NA,33
"$50,000+ per year",191000,None,Employed full time,Do all of your work from home,No,No,No,40
"$50,000+ per year",57000,None,Not employed at this time,NA,No,No,NA,69
"<$50,000 per year",6000,One or more,Not employed at this time,NA,Yes,No,NA,31
"$50,000+ per year",101000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,54
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,No,NA,23
"$50,000+ per year",65000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,30
"$50,000+ per year",550000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,60
"$50,000+ per year",196000,One or more,Not employed at this time,NA,No,Yes,NA,67
"$50,000+ per year",104000,None,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",44000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,47
"<$50,000 per year",18500,None,Not employed at this time,NA,Yes,No,NA,20
"<$50,000 per year",4000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,39
"<$50,000 per year",5500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,31
"<$50,000 per year",2000,None,Not employed at this time,NA,No,No,NA,68
"$50,000+ per year",158000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,22
"<$50,000 per year",39000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,54
"$50,000+ per year",111000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"<$50,000 per year",13000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,39
"$50,000+ per year",135000,None,Employed part-time,Do all of your work from home,Yes,No,Yes,32
"$50,000+ per year",66000,None,Not employed at this time,NA,No,No,NA,23
"$50,000+ per year",211000,None,Not employed at this time,NA,Yes,No,NA,57
"<$50,000 per year",36000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,45
"<$50,000 per year",45000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,59
"<$50,000 per year",11500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,55
"<$50,000 per year",18500,One or more,Not employed at this time,NA,No,Yes,NA,48
"<$50,000 per year",17500,None,Not employed at this time,NA,No,No,NA,52
"<$50,000 per year",2000,None,Not employed at this time,NA,Yes,No,NA,51
"$50,000+ per year",90000,None,Not employed at this time,NA,Yes,No,NA,41
"$50,000+ per year",174000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,57
"$50,000+ per year",51000,None,Not employed at this time,NA,Yes,No,NA,66
"$50,000+ per year",108000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,31
"<$50,000 per year",16500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,35
"$50,000+ per year",52000,None,Not employed at this time,NA,No,No,NA,69
"<$50,000 per year",44500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"<$50,000 per year",2500,None,Not employed at this time,NA,Yes,No,NA,30
"$50,000+ per year",124000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,41
"<$50,000 per year",28500,None,Not employed at this time,NA,Yes,No,NA,60
"<$50,000 per year",49500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,18
"$50,000+ per year",122000,None,Not employed at this time,NA,Yes,No,NA,51
"<$50,000 per year",38500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,42
"<$50,000 per year",3500,None,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",61000,None,Not employed at this time,NA,No,No,NA,34
"$50,000+ per year",234000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"$50,000+ per year",134000,None,Not employed at this time,NA,No,No,NA,45
"$50,000+ per year",64000,None,Not employed at this time,NA,No,No,NA,22
"$50,000+ per year",79000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,46
"$50,000+ per year",57000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,29
"<$50,000 per year",36500,None,Not employed at this time,NA,Yes,No,NA,70
"<$50,000 per year",14500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,51
"$50,000+ per year",108000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,41
"<$50,000 per year",49500,One or more,Not employed at this time,NA,No,No,NA,35
"$50,000+ per year",243000,One or more,Not employed at this time,NA,Yes,Yes,NA,19
"<$50,000 per year",40500,None,Not employed at this time,NA,No,No,NA,30
"$50,000+ per year",58000,None,Not employed at this time,NA,Yes,No,NA,60
"$50,000+ per year",107000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,67
"$50,000+ per year",69000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,63
"<$50,000 per year",49000,None,Not employed at this time,NA,Yes,No,NA,62
"<$50,000 per year",6500,None,Not employed at this time,NA,No,No,NA,19
"$50,000+ per year",70000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",39500,None,Not employed at this time,NA,Yes,No,NA,65
"<$50,000 per year",35000,One or more,Not employed at this time,NA,No,No,NA,63
"$50,000+ per year",186000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,23
"<$50,000 per year",3500,One or more,Not employed at this time,NA,Yes,No,NA,56
"$50,000+ per year",63000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"<$50,000 per year",42000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,64
"$50,000+ per year",141000,None,Employed full time,Do all of your work from home,Yes,No,No,70
"$50,000+ per year",167000,One or more,Employed full time,Do all of your work from home,Yes,No,No,28
"$50,000+ per year",69000,None,Not employed at this time,NA,Yes,No,NA,42
"$50,000+ per year",52000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"<$50,000 per year",500,One or more,Not employed at this time,NA,Yes,No,NA,36
"<$50,000 per year",49000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",1500,None,Not employed at this time,NA,No,No,NA,41
"<$50,000 per year",48000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,43
"<$50,000 per year",32500,One or more,Not employed at this time,NA,No,No,NA,49
"$50,000+ per year",246000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",31000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,22
"<$50,000 per year",30000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,34
"$50,000+ per year",154000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",60000,One or more,Not employed at this time,NA,Yes,Yes,NA,32
"<$50,000 per year",14000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,46
"<$50,000 per year",32000,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",36000,One or more,Not employed at this time,NA,No,Yes,NA,64
"$50,000+ per year",141000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,43
"<$50,000 per year",37000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,No,19
"<$50,000 per year",39000,None,Employed full time,Do all of your work from home,No,No,No,56
